               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12425,            0.036705,            0.082396,                   0,                   0,                   0,                   0,             0.13518,            0.080129,            0.081514,             0.00011,             0.00011,             0.09901
                   1,             0.11518,            0.037338,             0.07598,                   0,                   0,                   0,                   0,             0.12372,             0.13339,            0.076631,          0.00022999,          0.00022999,             0.09793
                   2,               0.106,            0.040069,            0.074199,                   0,                   0,                   0,                   0,              0.1067,             0.19325,            0.070451,          0.00034996,          0.00034996,             0.09685
                   3,            0.097679,            0.047189,            0.069436,            0.022577,             0.13333,            0.015482,            0.003961,            0.093225,             0.21968,             0.06498,          0.00046987,          0.00046987,             0.09577
                   4,            0.086721,            0.059689,            0.063673,             0.10688,             0.42452,             0.13275,            0.040094,            0.081084,             0.21259,             0.05877,           0.0005897,           0.0005897,             0.09469
                   5,            0.080785,            0.052172,            0.060052,              0.3495,             0.39215,             0.14776,            0.046198,            0.075905,              0.1751,            0.054264,          0.00070944,          0.00070944,            0.093609
                   6,            0.074048,            0.053256,            0.054499,             0.68085,             0.21458,             0.19412,              0.0601,            0.085777,             0.14155,             0.05066,          0.00082906,          0.00082906,            0.092529
                   7,            0.068066,             0.04544,            0.052178,             0.14116,                 0.6,             0.24842,            0.089605,            0.058804,             0.13551,            0.046595,          0.00094853,          0.00094853,            0.091449
                   8,            0.068538,            0.046101,            0.048186,             0.58985,             0.27772,            0.092749,            0.033566,            0.072621,              0.1147,            0.044038,           0.0010678,           0.0010678,            0.090368
                   9,            0.065422,            0.043543,            0.046614,             0.63589,             0.27364,               0.139,            0.048549,             0.07507,             0.11035,            0.042044,            0.001187,            0.001187,            0.089287
                  10,            0.064324,            0.041964,            0.045034,             0.69648,             0.41715,             0.27591,             0.10923,            0.052483,             0.12981,            0.041336,           0.0013059,           0.0013059,            0.088206
                  11,            0.063341,            0.043018,            0.045984,              0.6803,             0.29049,             0.22716,            0.080395,            0.060905,             0.14388,            0.040705,           0.0014245,           0.0014245,            0.087125
                  12,            0.059318,            0.040686,            0.043955,             0.63569,             0.32885,             0.13792,            0.048039,            0.059625,             0.11199,            0.039136,            0.001543,            0.001543,            0.086043
                  13,             0.05808,            0.038609,            0.043118,             0.24739,             0.72644,             0.38529,             0.14042,            0.047544,             0.12551,            0.038946,           0.0016611,           0.0016611,            0.084961
                  14,            0.059123,              0.0392,            0.043522,             0.25923,             0.83718,              0.3628,             0.10104,            0.063616,             0.11495,            0.037821,           0.0017789,           0.0017789,            0.083879
                  15,            0.057392,            0.037722,            0.042827,             0.25492,                0.85,             0.37961,            0.090971,            0.058426,             0.12716,            0.037042,           0.0018965,           0.0018965,            0.082796
                  16,            0.055395,            0.038297,            0.042226,             0.21869,                 0.9,             0.38119,             0.12821,            0.054045,              0.1104,            0.037137,           0.0020136,           0.0020136,            0.081714
                  17,            0.057585,            0.038249,            0.042164,             0.17785,             0.49285,             0.19736,            0.051243,            0.070282,             0.11232,             0.03731,           0.0021305,           0.0021305,             0.08063
                  18,            0.057004,            0.039057,            0.043137,              0.4086,             0.52161,             0.42151,             0.13751,            0.058296,             0.13129,            0.035589,           0.0022469,           0.0022469,            0.079547
                  19,             0.05605,            0.037215,            0.040503,             0.63979,             0.63374,             0.50415,             0.11186,            0.053526,             0.11952,            0.034619,           0.0023629,           0.0023629,            0.078463
