               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1264,            0.051108,            0.082524,                   0,                   0,                   0,                   0,             0.13764,            0.066265,            0.083729,               4e-05,               4e-05,             0.09964
                   1,             0.12238,            0.054611,            0.080968,                   0,                   0,                   0,                   0,             0.13593,            0.068357,             0.08202,          8.9996e-05,          8.9996e-05,             0.09919
                   2,             0.11996,            0.055093,            0.078386,                   0,                   0,                   0,                   0,             0.13301,            0.075323,            0.080067,          0.00013997,          0.00013997,             0.09874
                   3,             0.11477,            0.061711,            0.076946,                   0,                   0,                   0,                   0,             0.12806,            0.093698,            0.077652,          0.00018992,          0.00018992,             0.09829
                   4,             0.11154,             0.06775,            0.074387,                   0,                   0,                   0,                   0,              0.1202,             0.12228,            0.074794,          0.00023981,          0.00023981,             0.09784
                   5,             0.10857,            0.069198,             0.07176,           0.0037651,            0.032051,            0.002258,          0.00038779,             0.11221,             0.14248,             0.07167,          0.00028964,          0.00028964,             0.09739
                   6,             0.10273,            0.069388,            0.069433,           0.0060804,            0.057532,           0.0041248,               0.001,             0.10586,             0.14857,            0.068561,           0.0003394,           0.0003394,            0.096939
                   7,            0.098709,            0.080536,            0.066276,            0.019212,             0.12083,            0.011735,           0.0019402,             0.10057,             0.14824,            0.065662,          0.00038906,          0.00038906,            0.096489
                   8,            0.095902,            0.076579,            0.063675,            0.041777,             0.29005,            0.042716,           0.0083797,            0.094816,             0.14293,            0.063008,          0.00043861,          0.00043861,            0.096039
                   9,            0.089006,            0.079631,            0.061218,             0.35836,             0.23526,             0.10155,            0.026805,            0.088535,             0.13532,            0.060418,          0.00048804,          0.00048804,            0.095588
                  10,            0.086437,            0.070557,             0.05918,             0.60017,             0.39276,             0.12574,            0.037412,            0.080921,             0.12362,            0.057892,          0.00053734,          0.00053734,            0.095137
                  11,            0.079907,            0.069215,            0.056593,             0.37654,             0.26614,             0.12856,            0.031449,            0.075414,             0.11503,            0.055946,          0.00058649,          0.00058649,            0.094686
                  12,            0.077875,            0.069809,            0.054267,             0.39778,             0.41132,             0.17586,            0.056778,            0.069972,             0.10689,             0.05425,          0.00063547,          0.00063547,            0.094235
                  13,            0.075913,            0.064623,             0.05263,             0.54859,             0.30994,            0.068442,            0.017779,              0.0719,             0.10274,            0.051235,          0.00068427,          0.00068427,            0.093784
