               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12424,            0.036703,            0.082395,                   0,                   0,                   0,                   0,             0.13519,            0.080036,            0.081512,             0.00011,             0.00011,             0.09901
                   1,             0.11517,            0.037351,            0.075978,                   0,                   0,                   0,                   0,             0.12372,             0.13344,            0.076636,          0.00022999,          0.00022999,             0.09793
                   2,             0.10599,            0.040078,            0.074197,                   0,                   0,                   0,                   0,             0.10669,             0.19332,            0.070447,          0.00034997,          0.00034997,             0.09685
                   3,            0.097679,            0.047181,             0.06943,            0.021689,             0.12692,            0.014843,             0.00375,            0.093435,             0.21954,            0.064973,          0.00046991,          0.00046991,             0.09577
                   4,            0.086705,              0.0597,            0.063664,             0.10616,             0.42499,             0.13262,            0.042516,            0.080865,             0.21284,            0.058773,          0.00058979,          0.00058979,             0.09469
                   5,            0.080722,            0.052187,             0.06005,             0.35002,             0.39215,             0.14705,            0.047416,            0.076514,             0.17504,            0.054228,          0.00070961,          0.00070961,             0.09361
                   6,            0.074339,            0.053227,            0.054514,             0.68187,             0.21458,              0.1962,            0.060141,            0.085316,             0.14107,            0.050605,          0.00082934,          0.00082934,            0.092529
                   7,            0.068414,            0.045384,            0.052183,             0.68145,             0.34119,             0.25566,            0.086415,            0.057914,             0.13108,            0.046567,          0.00094898,          0.00094898,            0.091449
                   8,            0.067829,            0.046504,            0.048146,             0.60805,             0.44311,             0.12782,            0.045319,            0.060447,             0.13059,            0.044106,           0.0010685,           0.0010685,            0.090368
                   9,            0.063913,            0.044192,            0.046598,             0.42728,             0.48638,             0.15532,            0.036928,            0.068847,             0.11593,            0.042082,           0.0011879,           0.0011879,            0.089288
                  10,             0.06427,            0.041897,            0.045067,             0.56516,             0.51186,             0.24017,             0.11329,            0.054039,             0.12441,            0.041489,           0.0013071,           0.0013071,            0.088207
                  11,              0.0631,            0.043283,             0.04615,             0.58256,             0.37672,            0.096171,            0.035249,            0.063449,             0.12461,            0.040694,           0.0014262,           0.0014262,            0.087126
                  12,            0.061191,            0.040017,            0.044097,             0.57209,             0.27724,            0.079061,            0.029432,            0.074733,            0.099813,            0.039178,           0.0015451,           0.0015451,            0.086045
                  13,            0.061443,            0.037582,            0.043211,             0.20479,             0.67708,             0.19162,            0.061087,            0.062465,              0.1184,            0.039017,           0.0016638,           0.0016638,            0.084964
                  14,            0.058412,            0.039507,            0.043542,             0.23617,             0.60801,              0.1944,            0.056559,             0.06502,             0.10648,            0.038147,           0.0017823,           0.0017823,            0.083882
                  15,            0.057783,            0.037709,            0.042781,              0.2329,                0.85,             0.31611,             0.10582,            0.063334,             0.12162,            0.036856,           0.0019006,           0.0019006,            0.082801
                  16,            0.055315,            0.038135,            0.042139,             0.28102,             0.74685,             0.38851,            0.087668,            0.055024,             0.10519,            0.036806,           0.0020186,           0.0020186,            0.081719
                  17,             0.05751,            0.038397,            0.042162,             0.16531,             0.57676,             0.16377,            0.035071,            0.070506,             0.10528,            0.036684,           0.0021364,           0.0021364,            0.080636
                  18,            0.057695,            0.038562,            0.043164,             0.31401,             0.44709,             0.33707,            0.094204,            0.054195,             0.12338,            0.035222,           0.0022539,           0.0022539,            0.079554
                  19,            0.054914,            0.036974,             0.04044,             0.64197,             0.65965,              0.5019,             0.14492,            0.055863,             0.10978,            0.034169,           0.0023711,           0.0023711,            0.078471
                  20,            0.053959,            0.038247,            0.041154,             0.69601,             0.47516,             0.46225,             0.17482,            0.045407,             0.12229,            0.034124,           0.0024881,           0.0024881,            0.077388
